nct_id,official_title,brief_title,organization,conditions,interventions,intervention_types,lead_sponsor,study_type,phase,allocation,masking,primary_purpose,start_date,completion_date,primary_completion_date,overall_status,enrollment,enrollment_type,sex,minimum_age,maximum_age,healthy_volunteers,eligibility_criteria,primary_outcomes,secondary_outcomes
NCT02064751,Noninvasive Hemodynamics for MultiPoint(TM) Pacing Programming in Cardiac Resynchronization Therapy Patients,MultiPoint Pacing Programming Guided by Noninvasive Hemodynamics,Abbott Medical Devices,Heart Failure,CRT with MultiPoint Pacing; Hemodynamic measurements for CRT device programming,PROCEDURE; DEVICE,Abbott Medical Devices,INTERVENTIONAL,NA,NA,NONE,TREATMENT,2014-03,2016-06,2016-05,COMPLETED,40.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Be scheduled to undergo de novo implant of a St. Jude Medical CRT-D system
* Be in NYHA II or III functional class with approved standard indication by ESC/EHRA Guidelines
* Have the ability to provide informed consent for study participation and be willing and able to comply with the Clinical Investigation Plan (CIP) described evaluations and follow-up schedule

Exclusion Criteria:

* Have persistent or permanent atrial fibrillation
* Have a recent myocardial infarction within 40 days prior to enrollment
* Have undergone cardiac surgery or coronary revascularization procedure within 3 months prior to enrollment or be scheduled for such procedures in the following 12 months
* Have had a recent Cerebrovascular Accident (CVA) or Transient Ischemic Attack (TIA) within 3 months prior to enrollment
* Have had intravenous inotropic support in the last 30 days
* Be scheduled or considered for heart transplantation over the next 12 months
* Be less than 18 years of age
* Be pregnant or plan to become pregnant over the next 12 months",Systolic blood pressure changes in hemodynamics during BiV pacing and MPP,echocardiographic changes to MPP programming guided by noninvasive hemodynamic measurements
NCT02476201,Quartet Lead and Resynchronization Therapy Options - Assessing the Response Rate at 6 Months in CRT Patients Implanted With a Quartet Left Ventricular(LV) Quadripolar Lead and the MultiPoint Pacing (MPP) Feature Activated,Quartet Lead and Resynchronization Therapy Options III (QUARTO_III),Abbott Medical Devices,Heart Failure,MPP ON,DEVICE,Abbott Medical Devices,INTERVENTIONAL,NA,NA,NONE,TREATMENT,2016-02,2019-07,2019-02-13,COMPLETED,105.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Patient that will be implanted with a Cardiac Resynchronization Therapy (CRT-D) with the MultiPoint Pacing (MPP) feature under the current Guidelines indications for CRT-D implant (including upgrades from single or dual chamber Defibrillator or Pacemaker).
* Patient that will be implanted with a Quartet Left Ventricular (LV) quadripolar lead.
* In sinus rhythm at baseline visit.
* Patients with Left Bundle Branch Block (LBBB)
* Must be willing and able to comply with study requirements.
* Older than 18 years
* Must indicate their understanding of the study and willingness to participate by signing an appropriate informed consent form.

Exclusion Criteria:

* Already has a CRT device implanted.
* Myocardial Infarction or unstable angina within 40 days prior the enrollment.
* New York Heart Association (NYHA) Class IV
* Recent cardiac revascularization in the 4 weeks prior to enrollment.
* Cerebrovascular Accident (CVA) or Transient Ischemic Attack (TIA) in the 3 months prior the enrollment.
* Classification of Status 1 for cardiac transplantation or consideration for transplantation over the next 12 months.
* Primary valvular disease requiring surgical intervention.
* Atrial Fibrillation (AF):

  * Persistent AF at the time of enrollment or 30 days prior the enrollment
  * Permanent AF not treated with Atrio-Ventricular node ablation within 2 weeks after the CRT-D implant
  * History or incidence of Paroxysmal or Persistent AF within 30 days prior the enrollment
* Patient for whom suitable Transthoracic echocardiographic images for determining the cardiac output (CO) and LV volumes cannot be obtained.
* Undergone a cardiac transplantation or being waiting for it
* Life expectancy \< 6 months
* Pregnancy or planning to become pregnant
* Unable to comply with the follow up schedule
* Currently participating in any other clinical investigation.-",Number of CRT Responders,Changes in LV Echocardiographic Parameters; Number of CRT Super-responders; Rates of Hospitalization and Mortality; Change in NYHA Classification
NCT01568424,CentriMag RVAS U.S. Post-approval Study Protocol,CentriMag RVAS U.S. Post-approval Study Protocol,Abbott Medical Devices,Right Ventricular Failure,CentriMag RVAS placement,DEVICE,Abbott Medical Devices,INTERVENTIONAL,NA,NA,NONE,TREATMENT,2009-09,2014-06,2014-02,COMPLETED,25.0,ACTUAL,ALL,,,False,"Inclusion Criteria:

* Right ventricular failure from any cause

Exclusion Criteria:

* Primary coagulopathy or platelet disorders
* Allergy or sensitivity to heparin and all alternative anticoagulants",Survival,Central Venous Pressure (CVP); Mean Arterial Pressure (MAP); Cardiac Index (CI); Blood Urea Nitrogen (BUN); Creatinine; Total Bilirubin
NCT02698150,Evaluation of Remote Monitoring in Patients With Functional Mitral Regurgitation Undergoing Transcatheter Mitral Valve Edge-to-edge Repair With the Mitraclip System,Remote Monitoring of Patients With Functional Mitral Regurgitation Undergoing Mitraclip Transcatheter Repair,"Azienda Ospedaliero, Ferrarotto Alessi",Mitral Regurgitation; Heart Failure,HERMES tablet,DEVICE,"Azienda Ospedaliero, Ferrarotto Alessi",OBSERVATIONAL,,,,,2016-03,2018-10,2017-09,UNKNOWN,55.0,ESTIMATED,ALL,18 Years,,False,"Inclusion Criteria:

* Symptomatic while on optimal medical therapy (NYHA Class III-IV)
* Mitral regurgitation of functional etiology
* Suitable Mitraclip candidate
* Life expectancy \>12 months

Exclusion Criteria:

* Mitral regurgitation of primary etiology
* Refusal to sign the informed consent
* Dementia or neurological disorders that prevent the proper use of the tablet
* Inability to use the tablet, the sensors and/or the wearables, even with the assistance of family members
* Expected non-compliance with follow-up visits
* End-stage chronic kidney disease on dialysis",Quality of life @ 12 months,Quality of life @ baseline; Quality of life @ index procedure (end of the run-in phase); Quality of life @ 1 month
NCT03228381,An Acute Evaluation of Anatomical and Geometric Changes Using the Bladder on a Stick System (BOSS),The BOSS Study: An Acute Evaluation of Anatomical and Geometric Changes Using the Bladder on a Stick System (BOSS),Mardil Medical,Functional Mitral Regurgitation; Heart Failure,BOSS Device,DEVICE,Mardil Medical,INTERVENTIONAL,NA,NA,NONE,DEVICE_FEASIBILITY,2017-08-21,2017-10-16,2017-10-16,COMPLETED,4.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Adults ≥18 years of age
* Patient undergoing open chest cardiac surgery via sternotomy
* Signed informed consent by patient or legally authorized representative

Exclusion Criteria:

* Any procedure, condition or cardiac anatomy that may impact or compromise the pericardial space (e.g. prior valve surgery, CABG, epicardial pacing leads, pericarditis, history of mantle radiation, or other procedure involving pericardial access)",Acute anatomical changes assessed by echocardiography; Acute geometric changes measured by echocardiography,
NCT01993862,Safety and Cost Effectiveness of Same Day Discharge After Implantable Cardioverter-Defibrillator Implant Versus Next Day Discharge,Same Day Discharge (SDD) After Implantable Cardioverter Defibrillator (ICD) Implant,Abbott Medical Devices,Heart Failure; Coronary Artery Disease,Same Day Discharge,OTHER,Abbott Medical Devices,INTERVENTIONAL,NA,RANDOMIZED,NONE,BASIC_SCIENCE,2014-03-17,2016-08-12,2016-08-05,COMPLETED,266.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Patient has a St Jude Medical device that is compatible with Merlin.net (remote monitoring)
* Patient is receiving an implantable cardioverter defibrillator for primary prevention
* Patient lives within 50 miles of an emergency room or 24 hour urgent care
* Patient is able to sign informed consent

Exclusion Criteria:

* Patient experiences a complication during or 4 hours after implantable cardioverter defibrillator procedure
* Physician elects to keep the patient in over night due to a change in medical condition or a pre-existing condition that requires administration of continuous blood thinners
* Physician is unable to program the implantable cardioverter defibrillator to collect all required information remotely from device
* Patient is pregnant",Complication rate at 1 week after an implantable cardioverter defibrillator implant,Cost savings per patient; Complication rate at 6 months after an implantable cardioverter defibrillator implant
NCT05594940,Heart Failure Monitoring With a Portable Ultrasound Device With Artificial Intelligence Assisted Tools: A Multi-Phase Observational Feasibility Study,Heart Failure Monitoring With a Portable Ultrasound Device With Artificial Intelligence Assisted Tools: A Multi-Phase Observational Feasibility Study,Butterfly Network,Congestive Heart Failure,,,Butterfly Network,OBSERVATIONAL,,,,,2022-09-21,2024-02-23,2024-02-23,TERMINATED,22.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

1. Documented diagnosis of heart failure at least three months prior to the date of consent
2. HF currently managed with the Abbott CardioMEMS device
3. Able to read and write in English.
4. At least 18 years of age or older on the date of consent.
5. Willing and able to provide written consent to participation
6. Expressed willingness to capture AI assisted US recordings immediately before or after taking their CardioMEMS measurements
7. Access to WiFi or cellular data connection at home
8. In the opinion of the investigator or delegate the subject, must be capable of complying with study procedures.

Exclusion Criteria:

1. Previous experience using an ultrasound device on themselves or others
2. Women who are pregnant or plan to become pregnant during the study",Patients Image Quality; Novice Image Quality; B-Line count CardioMEMS comparison,Ease of use
NCT04977310,"Prospective, Randomized-controlled, Non-blinded, Multi-center, Pilot Trial to Compare Standard-of-care LVAD Unloading Plus Heart Failure Medications Reverse-modeling Management Versus Hemodynamics-guided LVAD Unloading with the Use of the Wireless Monitoring System CardioMEMS Plus Heart Failure Medications Reverse-remodeling Management",TARGET-LOAD Pilot Study Comparing Hemodynamics-guided LVAD Unloading Vs. Standard of Care,University of Utah,Heart Failure,CardioMEMS,DEVICE,STAVROS G DRAKOS,INTERVENTIONAL,NA,RANDOMIZED,NONE,TREATMENT,2025-03-31,2026-09-01,2026-09-01,WITHDRAWN,0.0,ACTUAL,ALL,18 Years,60 Years,False,"Inclusion Criteria:

* Severe clinical HF resistant to intensive medical therapy and requiring LVAD implantation
* Left ventricular ejection fraction \<=25% and cardiomegaly at time of LVAD implantation
* Non-ischemic etiology of HF
* Undergone LVAD implantation within prior 4 weeks or planned for LVAD implant
* History of HF \< 5 years
* Body Mass Index \<=35 kg/m\^2
* Pulmonary artery branch diameter between 7 - 15 mm
* Female subjects of childbearing age with negative urine or serum pregnancy test and agreeing to use reliable mechanical or hormonal form of contraception during study

Exclusion Criteria:

* Evidence of active acute myocarditis confirmed by histology
* History of previous cerebrovascular accident resulting in significant fixed motor deficit, limiting ability to perform exercise testing
* Implanted mechanical aortic and/or mitral valve(s) and/or right heart valve(s)
* Aortic valve closure
* Hypertrophic obstructive cardiomyopathy or sarcoidosis
* Left ventricular end-diastolic diameter below normal (restrictive cardiomyopathy)
* Irreversible multi-organ failure
* Diagnosis of psychiatric disease, irreversible cognitive dysfunction or poor psycho-social issues likely to impair compliance with study protocol
* Any condition that could limit survival to less than 2 years
* History of cardiac or other organ transplant
* Contraindicated to anti-coagulation, antiplatelet therapy, or diagnosis of coagulation disorders
* Require acute or chronic renal replacement therapy within 3 months prior to enrollment
* Participation in any other clinical investigations involving another Mechanical Circulating Support device or HF-related drug
* Active infection
* History of recurrent (\>1) pulmonary embolism or deep vein thrombosis
* Unable to tolerate right heart catheterization
* Implantation of cardiac re-synchronization therapy \< 3 months before enrollment
* Congenital heart disease
* Hypersensitivity or allergy to aspirin and/or clopidogrel","Proportion of subjects that meet explantation criteria by month 12 post-LVAD implantation, have LVAD explanted and retain left ventricular ejection fraction >=45% at 12 months post-LVAD weaning",Hospital Admissions; Six-minute Walk Test
NCT04069156,Antiplatelet Removal and HemocompatIbility EventS With the HeartMate 3 Pump IDE Study,The ARIES HeartMate 3 Pump IDE Study,Abbott Medical Devices,Heart Failure,LVAD Implant; Aspirin 100mg; Placebo oral tablet,DEVICE; DRUG,Abbott Medical Devices,INTERVENTIONAL,NA,RANDOMIZED,QUADRUPLE,SUPPORTIVE_CARE,2020-07-14,2023-08-10,2023-08-10,COMPLETED,628.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

1. Subject will receive the HeartMate 3 per standard of care (SOC) in accordance with the approved indications for use in the country of implant.
2. Subject will receive the HeartMate 3 as their first durable VAD.
3. Subject must provide written informed consent prior to any clinical investigation related procedure.
4. In female patients of child bearing capability, subject will not be currently pregnant or breastfeeding and on appropriate contraception.

Exclusion Criteria:

1. Post-implant additional temporary or permanent mechanical circulatory support (MCS).
2. Investigator mandated antiplatelet therapy for other conditions (including mandated presence or absence of antiplatelet agent).
3. Patients who are nil per os (NPO) post-implant through day 7.
4. Subjects with a known allergy to acetylsalicylic acid (aspirin).
5. Participation in any other clinical investigation(s) involving an MCS device, or interventional investigation(s) likely to confound study results or affect study outcome.
6. Presence of other anatomic or comorbid conditions, or other medical, social, or psychological conditions that, in the investigator's opinion, could limit the subject's ability to participate in the clinical investigation or to comply with follow-up requirements, or impact the scientific soundness of the clinical investigation results.",Powered Primary Endpoint of Survival Free of Non-surgical Major Hemocompatibility Related Adverse Events,Rates of Non-surgical Major Hemorrhagic Events; Rates of Bleeding Events; Rates of Non-surgical Major Thrombotic Events; Rates of Stroke; Survival Rates; Risk of Non-Surgical Bleeding Events
NCT00489177,"Optimal Programming to Improve Mechanical Indices, Symptoms and Exercise in Cardiac Resynchronization Therapy.","Optimal Programming to Improve Mechanical Indices, Symptoms and Exercise in Cardiac Resynchronization Therapy.",University of Calgary,Heart Failure,A; B,DEVICE,University of Calgary,INTERVENTIONAL,PHASE4,RANDOMIZED,TRIPLE,TREATMENT,2007-06,2012-11,2012-11,COMPLETED,461.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

1. CRT-D indications and be implanted with an SJM CRT-D device with VV timing and a compatible lead system.
2. Able to complete a 6-minute hall walk with the only limiting factor to be fatigue or shortness of breath.
3. Geographically stable and willing to comply with follow-up.
4. Adequate echocardiographic images to measure LV end systolic volume.

Exclusion Criteria:

1. Epicardial ventricular lead system.
2. Ability to walk ≥ 450 meters in 6 minutes
3. Limited intrinsic atrial activity (≤ 40 bpm).
4. Persistent or permanent AF.
5. 2° or 3° heart block.
6. Life expectancy is less than 1 year.
7. Patient is pregnant.
8. Receiving IV inotropic agents.",Clinical benefit (reduction in SAS of at least 1 class or a 25% or larger improvement in 6 minute hall walk distance) plus structural remodeling (15% or greater reduction in left LV end systolic volume or ≥ 5% absolute improvement in echo-derived LV EF),Rate of late (12-month) versus early (3 month) response to CRT; Changes in BNP; Inter-/intra-ventricular dysynchrony
NCT04142658,"A Prospective, Randomized, Active (Warfarin) Controlled, Parallel-arm Clinical Trial to Determine if Participants With an On-X Aortic Valve Can be Maintained Safely and Effectively on Apixaban",PROACT Xa - A Trial to Determine if Participants With an On-X Aortic Valve Can be Maintained Safely on Apixaban,Artivion Inc.,Aortic Valve Disease; Aortic Valve Stenosis; Aortic Valve Failure,Apixaban 5 MG; Apixaban 2.5 MG; Warfarin; On-X Aortic Mechanical Valve,DEVICE; DRUG,Artivion Inc.,INTERVENTIONAL,PHASE3,RANDOMIZED,NONE,TREATMENT,2020-05-01,2022-12-12,2022-12-12,TERMINATED,863.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Male or female at least 18 years of age at the time of giving informed consent.
* Participants currently receiving warfarin anticoagulation and who are able to receive warfarin with a target INR 2.0 to 3.0.
* Participants are able to take low-dose aspirin at a dose of 75 -100 mg daily or have a documented contraindication to aspirin use.
* Implantation of an On-X mechanical valve in the aortic position at least 3 months (90 days) ago.
* Female participants of childbearing potential, including those who are less than 2 years post-menopausal, must agree to, and comply with using a highly effective method of birth control (eg, barrier contraceptives \[condom or diaphragm with a spermicidal gel\], hormonal contraceptives \[implants, injectables, combination oral contraceptives, transdermal patches, or contraceptive rings\], intrauterine devices or sexual abstinence) while partaking in this study. In addition, all women of childbearing potential must agree to continue to use birth control throughout the study until last study visit.
* Informed of the full nature and purpose of the study, including possible risks and side effects, given ample time and opportunity to read and understand this information, and sign and date the written informed consent before inclusion in the study.

Exclusion Criteria:

* Mechanical valve in any position other than aortic valve.
* Any cardiac surgery in the three months (90 days) prior to enrollment.
* Need to be on aspirin \>100 mg daily or a P2Y12 inhibitor (clopidogrel, ticagrelor, prasugrel, or ticlopidine).
* Known hypersensitivity or other contraindication to apixaban.
* On dialysis or a creatinine clearance \< 25 mL/min.
* Ischemic stroke or intracranial hemorrhage within 3 months.
* Active pathological bleeding at the time of screening for enrollment.
* Active endocarditis at the time of screening for enrollment.
* Pregnant, plan to become pregnant, or are breast feeding.
* On concomitant combined strong P-gp and CYP3A4 inducers or inhibitors.
* History of non-compliance with recommended monthly INR testing.",Composite of Valve Thrombosis and Valve-related Thromboembolism; Major Bleeding,
NCT00512005,Valvular and Ventricular Improvement Via iCoapsys Delivery (VIVID) Feasibility Study,VIVID - Valvular and Ventricular Improvement Via iCoapsys Delivery - Feasibility Study,Myocor,Mitral Valve Regurgitation; Left Ventricular Dysfunction; Heart Failure; Mitral Insufficiency; Mitral Incompetence; Ischemic Heart Disease,Percutaneous mitral valve repair,DEVICE,Myocor,INTERVENTIONAL,PHASE1,NON_RANDOMIZED,NONE,TREATMENT,2008-01,2013-12,2009-12,UNKNOWN,30.0,ESTIMATED,ALL,18 Years,85 Years,False,"Key Inclusion Criteria:

* Grade 3 or 4 functional mitral valve regurgitation per 2D echocardiography.
* NYHA Class II and LVEF greater than or equal to 25% or NYHA Class III and LVEF greater than or equal to 30%

Key Exclusion Criteria:

* History of pericarditis.
* Creatinine \> 2.2 at the time of the procedure
* INR \> 1.8 at the time of the procedure
* Prior pericardial intervention (including CABG, pericardiotomy or pericardiocentesis).
* Any endovascular therapeutic interventional or surgical procedure performed within 30 days prior to the index procedure (e.g., stent placement).
* Any planned therapeutic interventional or surgical procedure planned within 30 days following the index procedure
* Open chest surgery contraindication (e.g., acute respiratory distress, endocarditis, myocarditis).
* Structural abnormality of the mitral valve
* Valve disease resulting in insufficiency or stenosis of the aortic, pulmonary or tricuspid valve requiring intervention.
* Pericardial effusion \>5 mm via echocardiography.
* Posterior wall end-diastolic dimension \>1.3 cm.
* Left ventricular end diastolic diameter \> 7.0 cm.","Intra-procedural implant safety of iCoapsys System, Peri-procedural safety of the iCoapsys System, Intra-procedural MR reduction with the iCoapsys System","Minnesota Living with Heart Failure Questionnaire, 6-Minute Hallwalk, LV Chamber Volumes"
NCT00819117,INvestigation of TRansvenous Versus EPIcarDial Left Ventricular Stimulation Technique,Investigation of Transvenous Versus Epicardial Left Ventricular Stimulation Technique,Abbott Medical Devices,Heart Failure,Cardiac Resynchronization Therapy implant,DEVICE,Abbott Medical Devices,INTERVENTIONAL,NA,RANDOMIZED,SINGLE,TREATMENT,2007-11,2009-10,2009-10,COMPLETED,20.0,ESTIMATED,ALL,,,False,"Inclusion Criteria:

* Have an approved indication for implantation of an CRT device (ESC guidelines , including any update);
* Have a stable pharmacological therapy.

Exclusion Criteria:

* Have a contra-indication to general anesthesia;
* Have a scheduled cardiac surgery;
* Have had a recent myocardial infarction, unstable angina or cardiac revascularization (PTCA or CABG) within 1 month of enrollment;
* Have a life expectancy of less than 6 months;
* Are unable to provide informed consent;
* Are unable to comply with the follow-up schedule and tests;
* Are minor (age below 18 years);
* Are pregnant or are planning for pregnancy in the next 6 months.",The efficacy will be evaluated by comparing the pacing thresholds at 6 months between the two groups. The safety will be evaluated by comparing the survival from lead-related complications at 6 months between the two groups.,
NCT03705312,EValuation of Outcomes of Transcatheter Mitral Valve Repair for the Treatment of Low Ejection Fraction and Moderate Functional Mitral ValvE Regurgitation In Heart Failure,MitraClip for the Treatment of Moderate Functional Mitral Regurgitation: EVOLVE-MR,Montreal Heart Institute,Mitral Regurgitation; Heart Failure; Mitral Valve Regurgitation Due to Cardiomyopathy (Disorder),Transcatheter mitral valve repair; Guideline-directed medical therapy,DEVICE; OTHER,Montreal Heart Institute,INTERVENTIONAL,NA,RANDOMIZED,SINGLE,TREATMENT,2019-02-22,2022-01,2021-12,UNKNOWN,174.0,ESTIMATED,ALL,18 Years,,False,"Inclusion Criteria:

* Moderate functional mitral regurgitation (2+, 2-3+)
* Left ventricular ejection fraction \>20%
* LVEDV 75-110 ml/m2
* Symptomatic heart failure (NYHA Class II-IV)

Exclusion Criteria:

* Left ventricular ejection fraction \< 20%
* Severe functional mitral regurgitation
* Recent coronary artery bypass graft surgery (CABG)
* Untreated significant coronary artery disease
* Mitral valve area \< 4.0cm2
* Severe pulmonary hypertension",Left ventricular diastolic remodelling; Functional capacity as measured by 6 minute walk test,Mitral regurgitation Severity (RV); Mitral regurgitation Severity (EROA); Quality of Life Measurement
NCT03779802,Comparison of the Acute Hemodynamic Effect of Three Modes of Stimulation in Cardiac Resynchronization.,Prospective Multicentric Study Comparing the Acute Hemodynamic Effect of Three Modes of Stimulation in Cardiac Resynchronization Therapy Recipients,CMC Ambroise Paré,Heart Failure; Cardiac Resynchronization Therapy,Device programming of ABBOTT CRT pacemaker or defibrillator,OTHER,CMC Ambroise Paré,INTERVENTIONAL,NA,NA,NONE,TREATMENT,2019-04-23,2020-04-18,2020-04-18,TERMINATED,50.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Patient older than 18
* Implantation of a CRT (CRT-P or CRT-D) less than 3 months before inclusion
* MPP and SyncAV-enabled ABBOTT Quadripolar CRT pacing system
* Patient who had signed an informed consent and is willing to comply with study requirements
* De novo implantation
* Patient covered by national healthcare insurance

Exclusion Criteria:

* Permanent/persistant atrial fibrillation/ supra-ventricular tachycardia
* Pacing indication for 2nd or 3rd degree AV block
* Upgrading from non-CRT system
* Pregnant or breastfeeding women
* Adult under legal protection",Hemodynamic response,Other hemodynamical response; Other hemodynamical response; Other hemodynamical response
NCT05655910,Enhanced Nutritional Optimization in LVAD (ENOL) Trial,Enhanced Nutritional Optimization in LVAD Trial,Columbia University,Heart Failure; Gut Microbiome; Nutritional Deficiency,Ensure Surgery Immunonutrition shake,DIETARY_SUPPLEMENT,Columbia University,INTERVENTIONAL,NA,RANDOMIZED,NONE,PREVENTION,2022-09-22,2027-01,2026-10,RECRUITING,50.0,ESTIMATED,ALL,18 Years,,False,"Inclusion Criteria:

* age \>18 years
* hospitalized
* undergoing LVAD therapy (enrolled at time of acceptance)

Exclusion Criteria:

* intubated
* congenital heart disease
* infiltrative cardiomyopathy
* unable to tolerate oral nutrition
* surgery expected in \<5 days",Change in Alpha Diversity (Baseline and Day 5); Change in Alpha Diversity (Baseline and Pre-VAD); Change in Alpha Diversity (Baseline and Discharge); Change in Alpha Diversity (Baseline and Post-Discharge Follow-up); Change in Microbial Gene Count (Baseline and Day 5); Change in Microbial Gene Count (Baseline and Pre-VAD); Change in Microbial Gene Count (Baseline and Discharge); Change in Microbial Gene Count (Baseline and Post-Discharge Follow-up); Change in C-Reactive Protein (CRP) (Baseline and Day 5); Change in C-Reactive Protein (CRP) (Baseline and Pre-VAD); Change in C-Reactive Protein (CRP) (Baseline and Discharge); Change in C-Reactive Protein (CRP) (Baseline and Post-Discharge Follow-up); Change in N-terminal (NT)-pro hormone BNP (NT-proBNP) (Baseline and Day 5); Change in N-terminal (NT)-pro hormone BNP (NT-proBNP) (Baseline and Pre-VAD); Change in N-terminal (NT)-pro hormone BNP (NT-proBNP) (Baseline and Discharge); Change in N-terminal (NT)-pro hormone BNP (NT-proBNP) (Baseline and Post-Discharge Follow-up); Change in lipopolysaccharide (LPS) (Baseline and Day 5); Change in lipopolysaccharide (LPS) (Baseline and Pre-VAD); Change in lipopolysaccharide (LPS) (Baseline and Discharge); Change in lipopolysaccharide (LPS) (Baseline and Post-Discharge Follow-up); Change in Tumor Necrosis Factor (TNF) (Baseline and Day 5); Change in Tumor Necrosis Factor (TNF) (Baseline and Pre-VAD); Change in Tumor Necrosis Factor (TNF) (Baseline and Discharge); Change in Tumor Necrosis Factor (TNF) (Baseline and Post-Discharge Follow-up); Change in Interleukin 6 (IL-6) (Baseline and Day 5); Change in Interleukin 6 (IL-6) (Baseline and Pre-VAD); Change in Interleukin 6 (IL-6) (Baseline and Discharge); Change in Interleukin 6 (IL-6) (Baseline and Post-Discharge Follow-up); Change in Interleukin 10 (IL-10) (Baseline and Day 5); Change in Interleukin 10 (IL-10) (Baseline and Pre-VAD); Change in Interleukin 10 (IL-10) (Baseline and Discharge); Change in Interleukin 10 (IL-10) (Baseline and Post-Discharge Follow-up); Change in Short-Chain Fatty Acids (Baseline and Day 5); Change in Short-Chain Fatty Acids (Baseline and Pre-VAD); Change in Short-Chain Fatty Acids (Baseline and Discharge); Change in Short-Chain Fatty Acids (Baseline and Post-Discharge Follow-up),Post-LVAD Infections; Post-LVAD Length of Stay in intensive care unit; Post-LVAD Mortality
